Indicator	Category	Ransomware	Keylogger	Worm	Backdoor	Techniques
Assigns a netmask to an interface.	general	0	0	0	0	
Asynchronously transfers a small amount of data over HTTP.	general	0	1	0	1	
Attaches debugger to another process on local or remote computer.	general	0	0	0	0	
Attaches debugger to local or remote runspaces.	general	0	0	0	0	
Attempts to authorize against a security handler.	general	0	0	0	0	
Attempts to brute-force passwords.	general	0	0	1	0	T1110
Attempts to evade UAC by abusing AppInfo command line parser.	general	1	1	1	1	T1088
Attempts to evade UAC by abusing COM entry hijack.	general	1	1	1	1	T1088
Attempts to evade UAC by abusing GetLongPathNameW behavior in Application Infromation Service.	general	1	1	1	1	T1088
Attempts to evade UAC by combining NTFS reparse point and DLL hijack UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC by controlling App Path registry key data.	general	1	1	1	1	T1088
Attempts to evade UAC by DLL hijack of SystemProperties commands.	general	1	1	1	1	T1088
Attempts to evade UAC by hijacking mscfile shell command.	general	1	1	1	1	T1088
Attempts to evade UAC by manipulating current user environment variables.	general	1	1	1	1	T1088
Attempts to evade UAC by obtaining the token of an auto-elevated process.	general	1	1	1	1	T1088;T1134
Attempts to evade UAC by overwriting ms-settings shell command.	general	1	1	1	1	T1088
Attempts to evade UAC by reusing token from UIAccess application.	general	1	1	1	1	T1088
Attempts to evade UAC by tricking Clean Manager.	general	1	1	1	1	T1088
Attempts to evade UAC by using AccessibilityCplAdmin elevated launch.	general	1	1	1	1	T1088
Attempts to evade UAC by using BitlockerWizardElev race condition.	general	1	1	1	1	T1088
Attempts to evade UAC by using Cerber style UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC by using CMLuaUtil interface.	general	1	1	1	1	T1088
Attempts to evade UAC by using ColorDataProxy/CCMLuaUtil undocumented COM interfaces.	general	1	1	1	1	T1088
Attempts to evade UAC by using COM handlers hijacking.	general	1	1	1	1	T1088
Attempts to evade UAC by using COR profiler.	general	1	1	1	1	T1088
Attempts to evade UAC by using CreateNewLink autoelevated interface.	general	1	1	1	1	T1088
Attempts to evade UAC by using DiskCleanup environment variable.	general	1	1	1	1	T1088
Attempts to evade UAC by using EditionUpgradeManager autoelevated interface.	general	1	1	1	1	T1088
Attempts to evade UAC by using FwCplLua undocumented COM interface.	general	1	1	1	1	T1088
Attempts to evade UAC by using IDateTimeStateWriter COM interface.	general	1	1	1	1	T1088
Attempts to evade UAC by using IsolatedCommand UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC by using Microsoft Management Console via ALPC.	general	1	1	1	1	T1088
Attempts to evade UAC by using self-defined SystemRoot environment.	general	1	1	1	1	T1088
Attempts to evade UAC by using SLUI elevated launch.	general	1	1	1	1	T1088
Attempts to evade UAC by using SPPLUAObject COM interface.	general	1	1	1	1	T1088
Attempts to evade UAC by using SXS Local Redirect UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC by using uiAccess UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC by using undocumented IARPUninstallStringLauncher interface.	general	1	1	1	1	T1088
Attempts to evade UAC by using whitelisted InfDefaultInstall interface.	general	1	1	1	1	T1088
Attempts to evade UAC by using WOW64 logger DLL.	general	1	1	1	1	T1088
Attempts to evade UAC using AppInfo AutoApproveEXEList UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using AppInfo Manifest UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using AppInfo whitelisting model UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using Application Verifier UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using AutoElevate UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using Deployment Image Servicing and Management UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using generic autoelevation UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using Get Windows marketing package UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using IIS InetMgr UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using Microsoft Management Console UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using OOBE AppInfo whitelisting UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using shim patching UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using shim RedirectEXE UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using Simda UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using SXS Local Redirect UAC bypass.	general	1	1	1	1	T1088
Attempts to evade UAC using Wusa Cabinet UAC bypass.	general	1	1	1	1	T1088
Attempts to spawn a root shell.	general	0	0	0	0	T1169
Automatically plays media.	general	0	0	0	0	
Awaits a connecton from another extension/app.	general	0	0	0	1	T1064
Awaits a message from another extension/app.	general	0	0	0	1	T1064
Base64 decodes files with certutil.	general	0	0	0	0	T1140;T1027
Base64 encodes files with certutil.	general	0	0	0	0	T1140;T1027
Bypasses the default script execution policy.	general	1	1	1	1	T1086
Calculates MD5 or SHA1 sum of the stream.	general	0	0	0	0	T1110
Cancels all bitsadmin jobs.	general	0	0	0	0	T1197
Captures content of a page as MHTML.	general	0	0	0	0	
Captures content of a tab as an image.	general	0	0	0	1	T1113
Captures the visible area of the active tab.	general	0	0	0	1	T1113
Captures video streams from the web camera.	general	0	0	0	1	T1125
Causes annotation to change state.	general	0	0	0	0	
Changes a remote desktop connection permission using WMI.	general	0	0	0	1	T1047;T1076
Changes active document.	general	0	0	0	0	
Changes backround/foreground colors to make macros invisible.	general	0	0	0	0	
Changes button caption.	general	0	0	0	0	
Changes computer name.	general	0	0	0	0	T1086
Changes event log settings using WMI.	general	1	1	1	1	T1047;T1089
Changes file ownership.	general	0	0	0	0	T1222
Changes if print dialog is shown.	general	0	0	0	0	
Changes keyboard focus to media player.	general	0	0	0	0	
Changes logical disk drive settings using WMI.	general	0	0	0	0	T1047
Changes operating system information using WMI.	general	0	0	0	0	T1047
Changes operating system recovery settings using WMI.	general	1	0	0	0	T1047;T1490
Changes password timeout for a security handler.	general	0	0	0	0	
Changes password.	general	0	0	0	0	T1531
Changes preference variables to silent mode.	general	0	0	0	0	T1086
Changes preferred spelling dictionary.	general	0	0	0	0	
Changes printer settings using WMI.	general	0	0	0	0	T1047
Changes printing mode to large bitmap.	general	0	0	0	0	
Changes security permissions of a file or a directory using WMI.	general	0	0	0	0	T1047;T1222
Changes security permissions of a file using WMI.	general	0	0	0	0	T1047;T1222
Changes settings for session configuration on the local computer.	general	0	0	0	1	T1086
Changes settings that control whether websites can use features such as cookies, JavaScript, and plugins.	general	0	0	0	0	
Changes settings that enable remote users to run commands on the local computer.	general	0	0	0	1	T1086
Changes status window and progress bar information.	general	0	0	0	0	
Changes system domain information using WMI.	general	0	0	0	0	T1047
Changes system environment variables using WMI.	general	0	0	0	0	T1047;T1034
Changes system information using WMI.	general	0	0	0	0	T1047
Changes system time.	general	0	0	0	0	
Changes tab properties.	general	0	0	0	0	
Changes the active console code page.	general	0	0	0	0	
Changes the current directory.	general	0	0	0	0	
Changes the properties of a bookmark.	general	0	0	0	0	
Changes the way PowerShell console reads input.	general	0	0	0	0	
Changes the way the document is signed.	general	0	0	0	0	
Changes time zone.	general	0	0	0	0	
Changes user account information using WMI.	general	0	0	0	0	T1047
Changes username or password.	general	0	0	0	0	T1098;T1531
Changes visibility of status window and progress bar.	general	0	0	0	0	
Changes whether the FDF file is automatically deleted.	general	0	0	0	0	
Changes WMI service settings.	general	0	0	0	0	T1047
Checks a volume for logical and physical errors.	general	0	0	0	0	
Checks connections information.	general	0	0	0	1	T1049
Checks directories mounted by the NFS client.	general	0	0	0	0	T1082;T1083;T1135
Checks file permissions.	general	0	0	0	0	T1083
Checks for network connectivity.	general	0	0	1	0	
Checks if the browser is Java-enabled.	general	0	0	0	0	T1518
Checks if the browser is working online.	general	0	0	0	0	
Checks if user has opted in for data collection as part of Customer Experience Improvement Program.	general	0	0	0	0	
Checks login names and enumerates number of logged on users.	general	0	0	0	0	T1087
Checks mail directory.	general	0	0	0	0	T1083
Checks NFS servers export list.	general	0	0	0	0	T1082;T1135
Checks operating system version.	general	1	0	0	0	T1082
Checks spelling.	general	0	0	0	0	
Checks system information.	general	1	0	0	1	T1082
Checks the time of the last system boot.	general	0	0	0	0	T1082
Checks user account information.	general	0	0	0	0	T1087
Checks user IDs.	general	0	0	0	0	T1087
Checks web root.	general	0	0	0	0	T1083
Checks whether the browser is running in standalone mode.	general	0	0	0	0	
Clears content of items, such as registry keys.	general	0	0	0	0	
Clears content of items, such as registry values.	general	0	0	0	0	
Clears event logs from local or remote computer.	general	1	1	1	1	T1070
Clears event logs using WMI.	general	1	1	1	1	T1047;T1070
Clears the 'hidden file' attribute to files/directories.	general	0	0	0	0	
Clears the 'system file' attribute to files/directories.	general	0	0	0	0	T1222
Clears the recycle bin.	general	0	0	0	0	
Closes a browser window.	general	0	0	0	0	
Closes the document.	general	0	0	0	0	
Communicates using Bluetooth.	general	0	0	0	0	
Communicates with Google Cloud Messaging.	general	0	0	0	0	
Compares two files.	general	0	0	0	0	
Completes a bitsadmin job.	general	0	0	0	0	T1197
Configures a connection to a repository of user information, including public-key certificates.	general	0	0	0	0	
Configures global resource system access control lists (SACLs).	general	0	0	0	0	
Configures the translation of events to traps, trap destinations, or both based on information in a configuration file.	general	0	0	0	0	
Connects through FTP using external applications.	general	0	0	1	1	
Connects through FTP.	general	0	0	1	1	
Connects through HTTP.	general	0	0	1	1	
Connects through Remote Desktop.	general	0	0	1	1	
Connects through Telnet using external applications.	general	0	0	1	1	
Connects through WebDAV.	general	0	0	0	0	
Connects through WebSocket.	general	0	0	0	0	
Connects to a remote server via openssl.	general	0	0	0	0	
Connects to a remote system using WMI.	general	0	0	0	0	
Connects to a repository of user information, including public-key certificates.	general	0	0	0	0	
Connects to an Egress-Assess server and transfers information.	general	0	0	0	0	
Connects to SOAP service.	general	0	0	0	0	
Connects to web services.	general	0	0	0	0	
Contains a reference to ActiveX GUID with the Kill-Bit flag set.	general	0	0	0	0	
