Indicator	Category	Ransomware	Keylogger	Worm	Backdoor	Techniques
Contains reference to quartz.dll which is DirectShow Runtime..	references	0	0	0	0	
Contains reference to query.dll which is Content Index Utility DLL.	references	0	0	0	0	
Contains reference to query.exe which is MultiUser Query Utility.	references	0	0	0	0	
Contains reference to quota.sys which is Quota Management Filter Driver.	references	0	0	0	0	
Contains reference to quser.exe which is Query User Utility.	references	0	0	0	0	
Contains reference to qutil.dll which is Quarantine Utilities.	references	0	0	0	0	
Contains reference to qwave.dll which is Windows NT.	references	0	0	0	0	
Contains reference to qwavedrv.sys which is Microsoft Quality Windows Audio Video Experience (qWave) Support Driver.	references	0	0	0	0	
Contains reference to qwinsta.exe which is Query Session Utility.	references	0	0	0	0	
Contains reference to r2brand.dll which is Windows Server R2 Branding Resources.	references	0	0	0	0	
Contains reference to r2custom.dll which is R2 setup custom dll.	references	0	0	0	0	
Contains reference to r2icons.dll which is R2 icons dll.	references	0	0	0	0	
Contains reference to r2repair.exe which is Windows Server 2003 R2 Repair.	references	0	0	0	0	
Contains reference to ra.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to racagent.exe which is Reliability analysis metrics calculation executable.	references	0	0	0	0	
Contains reference to racengn.dll which is Reliability analysis metrics calculation engine.	references	0	0	0	0	
Contains reference to racpldlg.dll which is Remote Assistance System Settings Provider.	references	0	0	0	0	
Contains reference to racwmiprov.dll which is Reliability Metrics WMI Provider.	references	0	0	0	0	
Contains reference to radardt.dll which is Microsoft Windows Resource Exhaustion Detector.	references	0	0	0	0	
Contains reference to radarrs.dll which is Microsoft Windows Resource Exhaustion Resolver.	references	0	0	0	0	
Contains reference to radcui.dll which is RemoteApp and Desktop Connection UI Component.	references	0	0	0	0	
Contains reference to radius.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to ramdisk.sys which is RAM Disk Driver.	references	0	0	0	0	
Contains reference to ramgmtapi.dll which is RaMgmtSvc RPC API's.	references	0	0	0	0	
Contains reference to ramgmtsvc.dll which is Remote Access Management.	references	0	0	0	0	
Contains reference to ramgmtui.exe which is Remote Access Management Console.	references	0	0	0	0	
Contains reference to rapi.dll which is ActiveSync RAPI Backward Compatibility.	references	0	0	0	0	
Contains reference to rapimgr.dll which is ActiveSync RAPI Manager.	references	0	0	0	0	
Contains reference to rapispxy.dll which is RAPI Proxy Provider.	references	0	0	0	0	
Contains reference to rapistub.dll which is RAPI Provider.	references	0	0	0	0	
Contains reference to rapmsign.dll which is Microsoft MSI Helper.	references	0	0	0	0	
Contains reference to rasacd.sys which is RAS Automatic Connection Driver.	references	0	0	0	0	
Contains reference to rasadhlp.dll which is Remote Access AutoDial Helper.	references	0	0	0	0	
Contains reference to rasapi32.dll which is Remote Access API.	references	0	0	0	0	
Contains reference to rasauto.dll which is Remote Access AutoDial Manager.	references	0	0	0	0	
Contains reference to rasautou.exe which is Remote Access Dialer.	references	0	0	0	0	
Contains reference to rascfg.dll which is RAS Configuration Objects.	references	0	0	0	0	
Contains reference to raschap.dll which is Remote Access PPP CHAP.	references	0	0	0	0	
Contains reference to raschapext.dll which is Windows Extension library for raschap.	references	0	0	0	0	
Contains reference to rasclusterres.dll which is Ras Cluster Resource Extensions.	references	0	0	0	0	
Contains reference to rasctrs.dll which is Windows NT Remote Access Perfmon Counter dll.	references	0	0	0	0	
Contains reference to rascustom.dll which is Custom Protocol Engine.	references	0	0	0	0	
Contains reference to rasdiag.dll which is RAS Diagnostics Helper Classes.	references	0	0	0	0	
Contains reference to rasdial.exe which is Remote Access Client Side Command Line Dial UI.	references	0	0	0	0	
Contains reference to rasdlg.dll which is Remote Access Common Dialog API.	references	0	0	0	0	
Contains reference to raserver.exe which is Windows Remote Assistance COM Server.	references	0	0	0	0	
Contains reference to rasgcw.dll which is RAS Wizard Pages.	references	0	0	0	0	
Contains reference to rasl2tp.sys which is RAS L2TP mini-port/call-manager driver.	references	0	0	0	0	
Contains reference to rasman.dll which is Remote Access Connection Manager.	references	0	0	0	0	
Contains reference to rasmans.dll which is Remote Access Connection Manager.	references	0	0	0	0	
Contains reference to rasmbmgr.dll which is Provides support for the switching of mobility enabled VPN connections if their underlying interface goes down..	references	0	0	0	0	
Contains reference to rasmigplugin-dl-mig.dll which is Microsoft RRAS Server Migration Lib.	references	0	0	0	0	
Contains reference to rasmigplugin-mig.dll which is Microsoft RRAS Server Migration Lib.	references	0	0	0	0	
Contains reference to rasmigplugin.dll which is Microsoft RRAS Server Migration Lib.	references	0	0	0	0	
Contains reference to rasmm.dll which is RAS Media Manager.	references	0	0	0	0	
Contains reference to rasmontr.dll which is RAS Monitor DLL.	references	0	0	0	0	
Contains reference to rasmxs.dll which is Remote Access Device DLL for modems, PADs and switches.	references	0	0	0	0	
Contains reference to rasphone.exe which is Remote Access Phonebook.	references	0	0	0	0	
Contains reference to rasplap.dll which is RAS PLAP Credential Provider.	references	0	0	0	0	
Contains reference to rasppp.dll which is Remote Access PPP.	references	0	0	0	0	
Contains reference to raspppoe.sys which is RAS PPPoE mini-port/call-manager driver.	references	0	0	0	0	
Contains reference to raspptp.sys which is Peer-to-Peer Tunneling Protocol.	references	0	0	0	0	
Contains reference to raspti.sys which is PTI DirectParallel(R) mini-port/call-manager driver.	references	0	0	0	0	
Contains reference to rasqec.dll which is RAS Quarantine Enforcement Client.	references	0	0	0	0	
Contains reference to rasrad.dll which is Remote Access Service NT RADIUS client module.	references	0	0	0	0	
Contains reference to rassapi.dll which is Windows NT 4.0 Remote Access Administration DLL.	references	0	0	0	0	
Contains reference to rasser.dll which is Remote Access Media DLL for COM ports.	references	0	0	0	0	
Contains reference to rassfm.dll which is Remote Access Subauthentication dll.	references	0	0	0	0	
Contains reference to rassstp.sys which is RAS SSTP Miniport Call Manager.	references	0	0	0	0	
Contains reference to rastapi.dll which is Remote Access TAPI Compliance Layer.	references	0	0	0	0	
Contains reference to rastls.dll which is Remote Access PPP EAP-TLS.	references	0	0	0	0	
Contains reference to rastlsext.dll which is Windows Extension library for rastls.	references	0	0	0	0	
Contains reference to rasuser.dll which is Dial-in User Management Snapin.	references	0	0	0	0	
Contains reference to rawwan.sys which is Raw WAN Transport.	references	0	0	0	0	
Contains reference to rbfg.exe which is Microsoft Windows Remote Installation Floppy Generator.	references	0	0	0	0	
Contains reference to rcbdyctl.dll which is Microsoft Remote Assistance.	references	0	0	0	0	
Contains reference to rcbklt8.dll which is Ricoh Print Class Driver Booklet Filter.	references	0	0	0	0	
Contains reference to rcimlby.exe which is Microsoft Remote Assistance.	references	0	0	0	0	
Contains reference to rcnup8.dll which is Ricoh Print Class Driver NUP Filter.	references	0	0	0	0	
Contains reference to rcp.exe which is TCP/IP Remote Copy Command.	references	1	1	1	1	
Contains reference to rcres8.dll which is Ricoh Print Class Driver Resource File.	references	0	0	0	0	
Contains reference to rcrevrs8.dll which is Ricoh Print Class Driver Page Reverse Filter.	references	0	0	0	0	
Contains reference to rcrpcs.dll which is XPS Rasterization Service XPS to RPCS raster filter.	references	0	0	0	0	
Contains reference to rd.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rdb.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rdbss.sys which is Redirected Drive Buffering SubSystem Driver.	references	0	0	0	0	
Contains reference to rdbui.dll which is ReadyBoost UI.	references	0	0	0	0	
Contains reference to rdcentraldbplugin.dll which is TODO: File description.	references	0	0	0	0	
Contains reference to rdchost.dll which is RDSHost Client Module.	references	0	0	0	0	
Contains reference to rdcmsdbverify.dll which is TODO: File description.	references	0	0	0	0	
Contains reference to rddbobjectfactory.dll which is TODO: File description.	references	0	0	0	0	
Contains reference to rdmdrv.sys which is Microsoft R/D Encoder Driver.	references	0	0	0	0	
Contains reference to rdms.dll which is Remote Desktop Management Service.	references	0	0	0	0	
Contains reference to rdmsinst.dll which is Microsoft  Rdms Instrumentation.	references	0	0	0	0	
Contains reference to rdmsres.dll which is RDMS Native Resources.	references	0	0	0	0	
Contains reference to rdp4vs.dll which is Virtual Machine Remoting Services API.	references	0	0	0	0	
Contains reference to rdpbus.sys which is Microsoft RDP Bus Device driver.	references	0	0	0	0	
Contains reference to rdpcdd.sys which is RDP Miniport.	references	0	0	0	0	
Contains reference to rdpcfgex.dll which is Remote Desktop Session Host Server Connection Configuration Extension for the RDP protocol.	references	0	0	0	0	
Contains reference to rdpclip.exe which is RDP Clipboard Monitor.	references	0	0	0	0	
Contains reference to rdpcore.dll which is RDP Core DLL.	references	0	0	0	0	
Contains reference to rdpcorekmts.dll which is TS (KM) RDPCore DLL.	references	0	0	0	0	
Contains reference to rdpcorets.dll which is TS RDPCore DLL.	references	0	0	0	0	
Contains reference to rdpd3d.dll which is RDP Direct3D Remoting DLL.	references	0	0	0	0	
Contains reference to rdpdd.dll which is RDP Display Driver.	references	0	0	0	0	
Contains reference to rdpdr.sys which is Microsoft RDP Device redirector.	references	0	0	0	0	
Contains reference to rdpencdd.dll which is RDP Encoder Mirror Driver.	references	0	0	0	0	
Contains reference to rdpencdd.sys which is RDP Encoder Miniport.	references	0	0	0	0	
Contains reference to rdpencom.dll which is RDPSRAPI COM Objects.	references	0	0	0	0	
Contains reference to rdpendp.dll which is RDP Audio Endpoint.	references	0	0	0	0	
Contains reference to rdpinit.exe which is RemoteApp Logon Application.	references	0	0	0	1	
Contains reference to rdpinput.exe which is RDP Session Input Handler.	references	0	0	0	0	
Contains reference to rdprefdd.dll which is Microsoft RDP Reflector Display Driver.	references	0	0	0	0	
Contains reference to rdprefdrvapi.dll which is Reflector Driver API.	references	0	0	0	0	
Contains reference to rdprefmp.sys which is RDP Reflector Driver Miniport.	references	0	0	0	0	
Contains reference to rdpsa.exe which is RDP Session Agent.	references	0	0	0	0	
Contains reference to rdpsaproxy.exe which is RDP Session Agent Proxy.	references	0	0	0	0	
Contains reference to rdpsaps.dll which is RDP Session Agent Proxy Stub.	references	0	0	0	0	
Contains reference to rdpsauachelper.exe which is RDP Session Agent UAC Helper.	references	0	0	0	0	
Contains reference to rdpshell.exe which is RemoteApp Shell.	references	0	0	0	0	
Contains reference to rdpsign.exe which is Remote Desktop Session Host Server Sign Tool.	references	0	0	0	0	
Contains reference to rdpsnd.dll which is Terminal Server MultiMedia Driver.	references	0	0	0	0	
Contains reference to rdpudd.dll which is UMRDP Display Driver.	references	0	0	0	0	
Contains reference to rdpvideominiport.sys which is Microsoft RDP Video Miniport driver.	references	0	0	0	0	
Contains reference to rdpwd.sys which is RDP Terminal Stack Driver.	references	0	0	0	0	
Contains reference to rdpwsx.dll which is RDP Extension DLL.	references	0	0	0	0	
Contains reference to rdrleakdiag.exe which is Microsoft Windows Resource Leak Diagnostic.	references	0	0	0	0	
Contains reference to rdsaddin.exe which is Microsoft Remote Desktop TSRDP Session Add-In.	references	0	0	0	0	
Contains reference to rdsappxhelper.dll which is Remote Desktop AppX Scheduler Helper DLL.	references	0	0	0	0	
Contains reference to rdsdwmdr.dll which is Microsoft Remote Desktop Services Desktop Composition Component.	references	0	0	0	0	
Contains reference to rdshost.exe which is RDSHost Server Module.	references	0	0	0	0	
Contains reference to rdsnetfs.dll which is Remote Desktop Services Network Fairshare client module.	references	0	0	0	0	
Contains reference to rdspnf.exe which is Windows All-User Installer Profile Processing Module.	references	0	0	0	0	
Contains reference to rdvembeddedvcap.sys which is Microsoft GPU miniport driver.	references	0	0	0	0	
Contains reference to rdvgetgpuinfo.exe which is RemoteFX Host GPU Information Application.	references	0	0	0	0	
Contains reference to rdvghelper.exe which is RemoteFX Helper.	references	0	0	0	0	
Contains reference to rdvgkmd.sys which is Microsoft RemoteFX Virtual GPU miniport driver.	references	0	0	0	0	
Contains reference to rdvgm.exe which is RemoteFX Desktop Virtual Graphics Manager.	references	0	0	0	0	
Contains reference to rdvgpuinfo.dll which is Microsoft RemoteFX GPU Info Library.	references	0	0	0	0	
Contains reference to rdvgsm.dll which is Microsoft RemoteFX Session Manager.	references	0	0	0	0	
Contains reference to rdvgu1132.dll which is Microsoft RemoteFX Virtual GPU.	references	0	0	0	0	
Contains reference to rdvgu1164.dll which is Microsoft RemoteFX Virtual GPU.	references	0	0	0	0	
Contains reference to rdvgumd32.dll which is Microsoft RemoteFX Virtual GPU.	references	0	0	0	0	
Contains reference to rdvgumd64.dll which is Microsoft RemoteFX Virtual GPU.	references	0	0	0	0	
Contains reference to rdvidcrl.dll which is Remote Desktop Services Client for Microsoft Online Services.	references	0	0	0	0	
Contains reference to rdvvmtransport.dll which is RdvVmTransport EndPoints.	references	0	0	0	0	
Contains reference to rdwebai.dll which is CMI tsportal plug-in.	references	0	0	0	0	
Contains reference to rdyboost.sys which is ReadyBoost Driver.	references	0	0	0	0	
Contains reference to reachframework.dll which is Windows Presentation Foundation XPS Library.	references	0	0	0	0	
Contains reference to reachframework.ni.dll which is Windows Presentation Foundation XPS Library.	references	0	0	0	0	
Contains reference to reagent.dll which is Microsoft Windows Recovery Agent DLL.	references	0	0	0	0	
Contains reference to reagentc.exe which is Microsoft Windows Recovery Agent.	references	0	0	0	0	
Contains reference to reagenttask.dll which is Microsoft Windows Recovery Agent Task Handler.	references	0	0	0	0	
Contains reference to recdisc.exe which is Microsoft Create Recovery Disc.	references	0	0	0	0	
Contains reference to recimg.exe which is Recovery Image Management Utility.	references	0	0	0	0	
Contains reference to recopack.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to recover.exe which is Recover Files Utility.	references	0	0	0	0	
Contains reference to recovery.dll which is Recovery Control Panel.	references	0	0	0	0	
Contains reference to recovery_start.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to recoverydrive.exe which is Recovery Media Creator.	references	0	0	0	0	
Contains reference to recycle.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to redbook.sys which is Redbook Audio Filter Driver.	references	0	0	0	0	
Contains reference to redircmp.exe which is Microsoft Computer Container Redirection Utility.	references	0	0	0	0	
Contains reference to redirect.dll which is http redirection.	references	0	0	0	0	
Contains reference to redirusr.exe which is Microsoft User Container Redirection Utility.	references	0	0	0	0	
Contains reference to refs.sys which is NT ReFS FS Driver.	references	0	0	0	0	
Contains reference to reg.exe which is Registry Console Tool.	references	1	1	1	1	
Contains reference to regapi.dll which is Registry Configuration APIs.	references	0	0	0	0	
Contains reference to regasm.exe which is Microsoft .NET Assembly Registration Utility.	references	0	0	0	0	
Contains reference to regcode.dll which is Microsoft .NET Assembly Registration Utility.	references	0	0	0	0	
Contains reference to regdelgc.exe which is RegDel Generic Command.	references	0	0	0	0	
Contains reference to regedit.exe which is Registry Editor.	references	1	1	1	1	
Contains reference to regedit32.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to regedt32.exe which is Registry Editor Utility.	references	0	0	0	0	
Contains reference to regidle.dll which is RegIdle Backup Task.	references	0	0	0	0	
Contains reference to regini.exe which is Registry Initializer.	references	0	0	0	0	
Contains reference to register.exe which is Program Register Utility.	references	0	0	0	0	
Contains reference to registeriepkeys.exe which is Registers custom PKEYs for IE.	references	0	0	0	0	
Contains reference to registeriepkeysai.dll which is CMI Register IE PKeys AI plug-in.	references	0	0	0	0	
Contains reference to registermceapp.exe which is Media Center Application registration.	references	0	0	0	0	
Contains reference to regsvc.dll which is Remote Registry Service.	references	0	0	0	0	
Contains reference to regsvcs.exe which is Microsoft .NET Services Installation Utility.	references	0	0	0	0	
Contains reference to regsvr32.exe which is Microsoft(C) Register Server.	references	0	0	0	1	
Contains reference to regtrace.exe which is REGTRACE MFC Application.	references	0	0	0	0	
Contains reference to regwizc.dll which is Online Registration Wizard.	references	0	0	0	0	
Contains reference to reinfo.dll which is Microsoft Windows Recovery Info DLL.	references	0	0	0	0	
Contains reference to rekeywiz.exe which is EFS REKEY wizard.	references	0	0	0	0	
Contains reference to reliab.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to relmon.dll which is Reliability Monitor.	references	0	0	0	0	
Contains reference to relog.exe which is Performance Relogging Utility.	references	0	0	0	0	
Contains reference to relpost.exe which is Windows Diagnosis and Recovery.	references	0	0	0	0	
Contains reference to remoteaccessdbverification.dll which is Remote Access DB Schema Verification.	references	0	0	0	0	
Contains reference to remotefilebrowse.dll which is Hyper-V remote file browser data source..	references	0	0	0	0	
Contains reference to remotemgt_start.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to remotepg.dll which is Remote Sessions CPL Extension.	references	0	0	0	0	
Contains reference to removedevicecontexthandler.dll which is Devices and Printers Remove Device Context Menu Handler.	references	0	0	0	0	
Contains reference to removedeviceelevated.dll which is RemoveDeviceElevated Proxy Dll.	references	0	0	0	0	
Contains reference to remrras.exe which is RRAS Config.	references	0	0	0	0	
Contains reference to rend.dll which is Microsoft Rendezvous Control.	references	0	0	0	0	
Contains reference to rendezvoussession.tlb which is Typelib for RendezvousSession.	references	0	0	0	0	
Contains reference to repair-bde.exe which is BitLocker Drive Encryption: Repair Tool.	references	0	0	0	0	
Contains reference to repdrvfs.dll which is WMI Repository Driver.	references	0	0	0	0	
Contains reference to replace.exe which is Replace File Utility.	references	0	0	0	0	
Contains reference to replprov.dll which is ReplProv Module.	references	0	0	0	0	
Contains reference to resampledmo.dll which is Windows Media Resampler.	references	0	0	0	0	
Contains reference to rescinst.dll which is Installer for MUI Resource Cache.	references	0	0	0	0	
Contains reference to reset.exe which is Remote Desktop Services Reset Utility.	references	0	0	0	0	
Contains reference to reseteng.dll which is Microsoft Windows Reset Engine.	references	0	0	0	0	
Contains reference to resetengmig.dll which is Microsoft Windows Reset Engine Mig Wrapper.	references	0	0	0	0	
Contains reference to resmon.exe which is Resource Monitor.	references	0	0	0	0	
Contains reference to resmon.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to resourcedll.dll which is Microsoft IME.	references	0	0	0	0	
Contains reference to resources.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to resrcmon.exe which is Cluster Resource Monitor.	references	0	0	0	0	
Contains reference to restore.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to resumekeyfilter.sys which is Resume Key Filter.	references	0	0	0	0	
Contains reference to resutils.dll which is Microsoft Cluster Resource Utility DLL.	references	0	0	0	0	
Contains reference to reverse.dll which is Windows OCR Engine - Reverse Video Detection for Asian OCR.	references	0	0	0	0	
Contains reference to rexec.exe which is TCP/IP Remote Exec Command.	references	0	0	0	1	
Contains reference to rfcomm.sys which is Bluetooth RFCOMM Driver.	references	0	0	0	0	
Contains reference to rfxvmt.dll which is Microsoft RemoteFX VM Transport.	references	0	0	0	0	
Contains reference to rfxvmt.sys which is Microsoft RemoteFX VM Transport.	references	0	0	0	0	
Contains reference to rhs.exe which is Failover Cluster Resource Host Subsystem.	references	0	0	0	0	
Contains reference to riafres.dll which is PCL Unidrv.	references	0	0	0	0	
Contains reference to riafui1.dll which is PCL Unidrv Printer Driver UI Plugin.	references	0	0	0	0	
Contains reference to riafui2.dll which is PCL Unidrv Printer Driver UI Plugin.	references	0	0	0	0	
Contains reference to riares7.dll which is PCL Unidrv.	references	0	0	0	0	
Contains reference to riaui17.dll which is PCL Unidrv Printer Driver UI Plugin.	references	0	0	0	0	
Contains reference to riaui27.dll which is PCL Unidrv Printer Driver UI Plugin.	references	0	0	0	0	
Contains reference to ribbons.scr which is Ribbons Screen Saver.	references	0	0	0	0	
Contains reference to riched20.dll which is Rich Text Edit Control, v3.1.	references	0	0	0	0	
Contains reference to riched32.dll which is Wrapper Dll for Richedit 1.0.	references	0	0	0	0	
Contains reference to rigpsnap.dll which is Remote Installation Service Policy Snap-in.	references	0	0	0	0	
Contains reference to ripagnt.dll which is Microsoft RIP2 subagent.	references	0	0	0	0	
Contains reference to ripbsyn.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rippfd.dll which is Ricoh Print Processor.	references	0	0	0	0	
Contains reference to riprep.exe which is Windows NT Remote Installation Services Prep Tool.	references	0	0	0	0	
Contains reference to riprep_i.exe which is Windows NT Remote Installation Services Prep Tool.	references	0	0	0	0	
Contains reference to ripsres.dll which is PS Printer Driver Rendering Plugin.	references	0	0	0	0	
Contains reference to ripsres7.dll which is PS Printer Driver Rendering Plugin.	references	0	0	0	0	
Contains reference to ripsui.dll which is PS Printer Driver UI Plugin.	references	0	0	0	0	
Contains reference to ripsui7.dll which is PS Printer Driver UI Plugin.	references	0	0	0	0	
Contains reference to risetupm.exe which is Windows Deployment Services Setup Wizard.	references	0	0	0	0	
Contains reference to rjvappx.dll which is Windows System Reset Platform Plugin for AppX Migration.	references	0	0	0	0	
Contains reference to rjvclassicapp.dll which is Windows System Reset Platform Plugin for Classic App Migration.	references	0	0	0	0	
Contains reference to rjvmdmconfig.dll which is Windows System Reset Platform Plugin for MDM Agent.	references	0	0	0	0	
Contains reference to rjvplatform.dll which is Windows Rejuvenation Platform.	references	0	0	0	0	
Contains reference to rmactivate.exe which is Windows Rights Management Services Activation for Desktop Security Processor.	references	0	0	0	0	
Contains reference to rmactivate_isv.exe which is Windows Rights Management Services Activation for Desktop Security Processor.	references	0	0	0	0	
Contains reference to rmactivate_ssp.exe which is Windows Rights Management Services Activation for Server Security Processor.	references	0	0	0	0	
Contains reference to rmactivate_ssp_isv.exe which is Windows Rights Management Services Activation for Server Security Processor (Pre-production).	references	0	0	0	0	
Contains reference to rmapi.dll which is Radio Manager API.	references	0	0	0	0	
Contains reference to rmcast.sys which is Reliable Multicast Transport.	references	0	0	0	0	
Contains reference to rmclient.exe which is Restart Manager LUA Restart Client.	references	0	0	0	0	
Contains reference to rms_help.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rms_start.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rmt.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rmt_start.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rmttpmvscmgrsvr.exe which is TPM Virtual Smart Card Manager DCOM Server.	references	0	0	0	0	
Contains reference to rndismp.sys which is Remote NDIS Miniport.	references	0	0	0	0	
Contains reference to rndismp6.sys which is Remote NDIS Miniport.	references	0	0	0	0	
Contains reference to rndismpx.sys which is Remote NDIS Miniport.	references	0	0	0	0	
Contains reference to rnr20.dll which is Windows Socket2 NameSpace DLL.	references	0	0	0	0	
Contains reference to roamingsecurity.dll which is Roaming Security implementation.	references	0	0	0	0	
Contains reference to robocopy.exe which is Microsoft Robocopy.	references	0	0	0	0	
Contains reference to rometadata.dll which is Microsoft MetaData Library.	references	0	0	0	0	
Contains reference to rootmdm.sys which is Legacy Non-Pnp Modem Device Driver.	references	0	0	0	0	
Contains reference to rotmgr.dll which is Auto-Rotation Manager.	references	0	0	0	0	
Contains reference to route.exe which is TCP/IP Route Command.	references	0	0	0	0	
Contains reference to routemon.exe which is Router Console Monitor.	references	0	0	0	0	
Contains reference to routetab.dll which is Microsoft Routing Table DLL.	references	0	0	0	0	
Contains reference to rpcdiag.dll which is RPC Diagnostics.	references	0	0	0	0	
Contains reference to rpcepmap.dll which is RPC Endpoint Mapper.	references	0	0	0	0	
Contains reference to rpchttp.dll which is RPC HTTP DLL.	references	0	0	0	0	
Contains reference to rpcinfo.exe which is Services for NFS ONCRPC registration admin utility.	references	0	0	0	0	
Contains reference to rpcndfp.dll which is RPC NDF Helper Class.	references	0	0	0	0	
Contains reference to rpcns4.dll which is Remote Procedure Call Name Service Client.	references	0	0	0	0	
Contains reference to rpcnsh.dll which is RPC Netshell Helper.	references	0	0	0	0	
Contains reference to rpcping.exe which is RPC Ping Utility.	references	0	0	0	0	
Contains reference to rpcproxy.dll which is RPC PROXY DLL.	references	0	0	0	0	
Contains reference to rpcproxymigrationplugin.dll which is RPC Proxy Migration Plugin.	references	0	0	0	0	
Contains reference to rpcref.dll which is Microsoft Internet Information Services RPC helper library.	references	0	0	0	0	
Contains reference to rpcrt4.dll which is Remote Procedure Call Runtime.	references	0	0	0	0	
Contains reference to rpcrtremote.dll which is Remote RPC Extension.	references	0	0	0	0	
Contains reference to rpcss.dll which is Distributed COM Services.	references	0	0	0	0	
Contains reference to rpcxdr.sys which is Microsoft Services for NFS ONCRPC XDR Driver.	references	0	0	0	0	
Contains reference to rqc.exe which is Windows NT Remove Quarantine client.	references	0	0	0	0	
Contains reference to rqs.exe which is Windows NT Remote Quarantine Server.	references	0	0	0	0	
Contains reference to rqsinst.dll which is Windows NT Remote Quarantine Server Installtion.	references	0	0	0	0	
Contains reference to rras.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rrasprxy.dll which is RRAS Config Proxy.	references	0	0	0	0	
Contains reference to rraswiz.exe which is RRAS Wizard.	references	0	0	0	0	
Contains reference to rrcm.dll which is RTP/RTCP Core Module.	references	0	0	0	0	
Contains reference to rrinstaller.exe which is RandR installer.	references	0	0	0	0	
Contains reference to rsadmin.dll which is Remote Storage Snap-in.	references	0	0	0	0	
Contains reference to rsaenh.dll which is Microsoft Enhanced Cryptographic Provider.	references	0	0	0	0	
Contains reference to rsat.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rsat_start.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rsca.dll which is IIS RSCA (Runtime State and Control API) implementation.	references	0	0	0	0	
Contains reference to rscaext.dll which is RSCA Application Host Extension.	references	0	0	0	0	
Contains reference to rscli.dll which is Remote Storage Command Line Interface.	references	0	0	0	0	
Contains reference to rscommon.dll which is Remote Storage Common Library.	references	0	0	0	0	
Contains reference to rsconn.dll which is Remote Storage Connection DLL.	references	0	0	0	0	
Contains reference to rseng.dll which is Remote Storage Engine.	references	0	0	0	0	
Contains reference to rsengps.dll which is Remote Storage Proxy / Stub.	references	0	0	0	0	
Contains reference to rsfilter.sys which is HSM Recall Service.	references	0	0	0	0	
Contains reference to rsfsa.dll which is Remote Storage File service.	references	0	0	0	0	
Contains reference to rsfsaps.dll which is FSA Proxy / Stub.	references	0	0	0	0	
Contains reference to rsh.exe which is TCP/IP Remote Shell Command.	references	0	0	0	1	
Contains reference to rshx32.dll which is Security Shell Extension.	references	0	0	0	0	
Contains reference to rsidb.dll which is Remove Storate IDB Library.	references	0	0	0	0	
Contains reference to rsjob.dll which is HSM Job Object Server.	references	0	0	0	0	
Contains reference to rslaunch.exe which is Remote Storage Job Launcher.	references	0	0	0	0	
Contains reference to rslnk.exe which is Remote Storage Notification Service.	references	0	0	0	0	
Contains reference to rsm.exe which is Removable Storage Command-Line Interface.	references	0	0	0	0	
Contains reference to rsm_v.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rsmgrstr.dll which is Brother MFL Pro R/M Langage Resource.	references	0	0	0	0	
Contains reference to rsmmllsv.exe which is Removable Storage MLL Layer.	references	0	0	0	0	
Contains reference to rsmover.dll which is Remote Storage Data Mover.	references	0	0	0	0	
Contains reference to rsmps.dll which is Removable Storage Proxy Stub.	references	0	0	0	0	
Contains reference to rsmsink.exe which is Removable Storage Sink Layer.	references	0	0	0	0	
Contains reference to rsmui.exe which is Removable Storage UI Layer.	references	0	0	0	0	
Contains reference to rsnotify.exe which is Remote Storage Recall Notification.	references	0	0	0	0	
Contains reference to rsop.h1s which is Compiled Microsoft Help 2.0 Title.	references	0	0	0	0	
Contains reference to rsopprov.exe which is RSoP Service Application.	references	0	0	0	0	
Contains reference to rsoptcom.dll which is Remote Storage Optional Component.	references	0	0	0	0	
